1,0
2,1.33333
3,0.333333
4,1.66667
5,0
6,1.66667
7,1.33333
8,0.333333
9,0
10,1.33333
11,0.666667
12,0.333333
13,0.666667
14,0.333333
15,11
16,1
17,0.333333
18,0.333333
19,0.666667
20,0.666667
21,1
22,0.666667
23,0.666667
24,1
25,17
26,1
27,1
28,1
29,1
30,1
31,1
32,2.33333
33,3.66667
34,4
35,2.33333
36,1
37,0.333333
38,0
39,0.333333
40,0.666667
41,5.66667
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1.33333
54,1
55,18
56,1
57,1
58,1
59,1
60,1
61,2
62,1.33333
63,1
64,1.66667
65,1
66,0.666667
67,1
68,1
69,1
70,1
71,1
72,3.33333
73,1.66667
74,1
75,1
76,1
77,1
78,17.3333
79,1.33333
80,1
81,1
82,1
83,14
84,0.666667
85,2
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,2.33333
95,1
96,1
97,0.333333
98,1.66667
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,17.3333
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,18
116,1
117,1
118,1
119,0.666667
120,1
121,1
122,1
123,4.66667
124,1
125,1
126,1
127,2
128,3.33333
129,2.33333
130,1
131,2.66667
132,1
133,1
134,6.33333
135,1
136,6.66667
137,1
138,1.33333
139,1
140,1
141,4.66667
142,6.33333
143,0.666667
144,1
145,1
146,1
147,0.333333
148,1
149,1.66667
150,0.666667
151,1
152,0.666667
153,1
154,1
155,17
156,5
157,1
158,1.66667
159,1
160,1
161,0.333333
162,0.666667
163,1
164,1
165,0.666667
166,1
167,1
168,1
169,0.666667
170,1
171,1
172,17
173,0.333333
174,0.666667
175,0.333333
176,18.3333
177,2.33333
178,1
179,0.333333
180,0.666667
181,0.666667
182,1
183,1
184,1
185,0
186,0.666667
187,0.333333
188,0.333333
189,0.666667
190,1
191,1
192,1
193,0.666667
194,0
195,0.666667
196,0.333333
197,0.666667
198,0.333333
199,1
200,0.666667
201,0.666667
202,0.333333
203,2
204,1
205,1
206,0.666667
207,1
208,1
209,0.333333
210,0.333333
211,0
212,0.666667
213,1
214,0.666667
215,1
216,1
217,1
218,0.666667
219,0.666667
220,1.33333
221,0.333333
222,0.333333
223,1
224,1
225,0.333333
226,1
227,0.666667
228,1
229,17
230,0
231,0.666667
232,16.6667
233,0.666667
234,0.666667
235,0.666667
236,0.666667
237,1
238,1
239,1
240,14.3333
241,1
242,17
243,2.33333
244,1.33333
245,0.666667
246,1
247,1
248,0.666667
249,1.33333
250,1
251,0.666667
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1.33333
260,0.666667
261,0.333333
262,1
